uniprot,pdb,fnat,fnat_correct,fnat_total,fnonnat,fnonnat_nnative,fnonnat_model,irms,lrms,dockq,capri
P31749,7nh4,0.5,10.0,20.0,0.889,80.0,90.0,5.145,21.236,0.239,Acceptable
P62826,3gj7,0.0,0.0,2.0,1.0,62.0,62.0,4.197,59.957,0.044,Incorrect
P62826,6xju,0.5,1.0,2.0,0.75,3.0,4.0,1.122,38.607,0.396,Acceptable
P62826,4hb2,1.0,2.0,2.0,0.6,3.0,5.0,0.99,39.334,0.58,Medium
Q02750,4ark,0.929,78.0,84.0,0.025,2.0,80.0,1.515,0.903,0.804,High
P12931,1fmk,0.769,40.0,52.0,0.231,12.0,52.0,1.919,2.649,0.687,Medium
Q02750,2p55,0.938,76.0,81.0,0.05,4.0,80.0,1.205,0.831,0.845,High
Q06124,5ibm,0.917,66.0,72.0,0.083,6.0,72.0,0.394,0.524,0.949,High
O60741,6uqg,0.839,47.0,56.0,0.041,2.0,49.0,0.558,1.05,0.901,High
O00571,4pxa,0.667,64.0,96.0,0.158,12.0,76.0,4.457,9.93,0.397,Acceptable
P62826,6x2x,0.5,1.0,2.0,0.667,2.0,3.0,1.208,40.106,0.383,Acceptable
P52564,8p7j,0.93,80.0,86.0,0.07,6.0,86.0,1.481,2.269,0.79,Medium
Q06124,8u7w,0.907,68.0,75.0,0.056,4.0,72.0,0.472,1.091,0.933,High
,,,,,,,,,,,Incorrect
Q9H7B4,7o2c,0.964,53.0,55.0,0.019,1.0,54.0,0.218,0.547,0.98,High
P28482,6opg,0.855,59.0,69.0,0.359,33.0,92.0,2.368,5.764,0.609,Medium
Q06124,5xzr,0.873,62.0,71.0,0.061,4.0,66.0,0.512,1.081,0.918,High
P07949,7du8,0.625,10.0,16.0,0.706,24.0,34.0,3.053,7.554,0.459,Acceptable
Q06124,8s04,0.895,68.0,76.0,0.081,6.0,74.0,0.633,0.972,0.91,High
Q06124,4nwg,0.921,70.0,76.0,0.067,5.0,75.0,0.442,0.714,0.945,High
P62826,7mo4,0.0,0.0,2.0,1.0,67.0,67.0,4.179,63.691,0.044,Incorrect
P12931,1ksw,0.827,43.0,52.0,0.246,14.0,57.0,1.581,2.158,0.747,Medium
O95376,7od1,0.917,33.0,36.0,0.154,6.0,39.0,0.681,1.737,0.902,High
P28482,6qah,0.831,59.0,71.0,0.449,48.0,107.0,2.46,5.53,0.602,Medium
,,,,,,,,,,,Incorrect
P00579,4zh2,0.0,0.0,0.0,0.0,0.0,0.0,15.016,46.735,0.014,Incorrect
Q8IXJ6,6nr0,0.948,73.0,77.0,0.076,6.0,79.0,0.662,0.64,0.927,High
P62826,1k5d,1.0,2.0,2.0,0.333,1.0,3.0,1.062,34.26,0.575,Medium
Q9UM73,5iug,0.841,37.0,44.0,0.14,6.0,43.0,2.248,2.789,0.684,Medium
P28482,4fmq,0.775,55.0,71.0,0.353,30.0,85.0,1.357,2.677,0.745,Medium
Q06124,6bmu,0.895,68.0,76.0,0.068,5.0,73.0,0.345,0.486,0.947,High
P53042,4ja7,0.818,36.0,44.0,0.419,26.0,62.0,1.063,1.859,0.813,High
Q06124,6mdd,0.934,71.0,76.0,0.101,8.0,79.0,0.38,0.587,0.956,High
Q9UM73,7jyt,0.932,41.0,44.0,0.281,16.0,57.0,2.233,2.856,0.714,Medium
P11142,5aqh,0.925,37.0,40.0,0.051,2.0,39.0,0.384,0.493,0.953,High
P62826,3gj0,0.0,0.0,2.0,1.0,58.0,58.0,4.16,59.97,0.045,Incorrect
Q8NB16,7nm4,0.684,26.0,38.0,0.333,13.0,39.0,1.734,2.564,0.676,Medium
Q8NB16,7nm5,0.579,22.0,38.0,0.371,13.0,35.0,1.644,2.354,0.654,Medium
Q00944,2j0k,0.812,26.0,32.0,0.235,8.0,34.0,0.81,3.594,0.812,High
Q58719,5f3w,0.875,56.0,64.0,0.082,5.0,61.0,0.832,12.821,0.648,Medium
P07949,6nec,0.625,10.0,16.0,0.73,27.0,37.0,2.874,7.471,0.468,Acceptable
P62826,5ytb,1.0,2.0,2.0,0.5,2.0,4.0,1.027,38.802,0.575,Medium
P08631,3vs3,0.938,30.0,32.0,0.062,2.0,32.0,0.569,1.034,0.932,High
P07949,2ivu,0.538,7.0,13.0,0.72,18.0,25.0,2.783,7.499,0.442,Acceptable
P62826,8huf,1.0,2.0,2.0,0.6,3.0,5.0,0.858,39.238,0.599,Medium
Q16644,3fhr,0.95,96.0,101.0,0.111,12.0,108.0,0.456,0.506,0.954,High
P62826,2mmg,0.5,1.0,2.0,0.971,33.0,34.0,1.357,44.802,0.362,Acceptable
P07949,7dua,0.625,10.0,16.0,0.722,26.0,36.0,2.858,7.428,0.469,Acceptable
Q9JK66,4k7d,0.882,112.0,127.0,0.089,11.0,123.0,0.967,0.801,0.86,High
Q9H7B4,5hq8,0.982,54.0,55.0,0.018,1.0,55.0,0.236,1.159,0.98,High
P62826,5uws,1.0,2.0,2.0,0.6,3.0,5.0,1.063,39.48,0.57,Medium
P28482,4iz5,0.887,63.0,71.0,0.33,31.0,94.0,1.379,3.286,0.766,Medium
Q8NI60,4ped,0.923,12.0,13.0,0.25,4.0,16.0,1.622,2.199,0.774,Medium
P06241,1g83,1.0,1.0,1.0,0.5,1.0,2.0,1.458,5.294,0.745,Medium
P28482,4fv3,0.831,59.0,71.0,0.438,46.0,105.0,2.531,5.617,0.596,Medium
Q13555,2v7o,0.941,32.0,34.0,0.0,0.0,32.0,0.232,1.008,0.968,High
P62826,4haw,0.5,1.0,2.0,0.667,2.0,3.0,1.062,43.137,0.401,Acceptable
P31749,7nh5,0.5,10.0,20.0,0.889,80.0,90.0,4.66,20.966,0.245,Acceptable
P62826,8itv,0.5,1.0,2.0,0.667,2.0,3.0,1.131,39.293,0.394,Acceptable
P62826,6x2r,0.5,1.0,2.0,0.75,3.0,4.0,1.115,39.874,0.396,Acceptable
P62826,3ch5,0.0,0.0,2.0,1.0,57.0,57.0,4.175,57.898,0.045,Incorrect
P28482,4nif,0.891,57.0,64.0,0.313,26.0,83.0,1.323,2.881,0.783,Medium
P11142,4h5w,0.975,39.0,40.0,0.071,3.0,42.0,0.294,0.369,0.979,High
P39687,4xos,0.924,61.0,66.0,0.062,4.0,65.0,0.31,0.521,0.96,High
P28482,6g92,0.831,59.0,71.0,0.449,48.0,107.0,2.549,5.849,0.589,Medium
Q07889,3ksy,0.73,27.0,37.0,0.449,22.0,49.0,1.233,1.618,0.764,Medium
Q8IXJ6,5d7q,0.974,75.0,77.0,0.051,4.0,79.0,0.839,2.015,0.894,High
Q06124,8s0p,0.895,68.0,76.0,0.117,9.0,77.0,0.812,1.301,0.882,High
P08631,2c0o,0.969,31.0,32.0,0.0,0.0,31.0,0.59,1.052,0.94,High
P28482,5v60,0.855,59.0,69.0,0.33,29.0,88.0,2.306,5.626,0.616,Medium
A0A0R4I961,6gtv,0.913,63.0,69.0,0.045,3.0,66.0,0.545,1.045,0.927,High
P28482,5v62,0.855,59.0,69.0,0.359,33.0,92.0,2.384,5.604,0.612,Medium
P12931,2h8h,0.9,36.0,40.0,0.053,2.0,38.0,0.842,1.662,0.875,High
Q9UM73,5iuh,0.86,37.0,43.0,0.051,2.0,39.0,2.209,2.577,0.697,Medium
Q6SZW1,7cm6,0.885,46.0,52.0,0.132,7.0,53.0,0.593,1.774,0.903,High
P28482,4qte,0.817,58.0,71.0,0.453,48.0,106.0,2.426,5.078,0.61,Medium
Q9H7B4,6yuh,0.964,53.0,55.0,0.054,3.0,56.0,0.205,0.316,0.981,High
P62826,7mo1,0.0,0.0,2.0,1.0,60.0,60.0,4.232,61.241,0.044,Incorrect
Q9UGN5,3kjd,0.926,88.0,95.0,0.093,9.0,97.0,0.461,0.864,0.943,High
P28482,4qp3,0.952,60.0,63.0,0.221,17.0,77.0,1.424,3.286,0.783,Medium
Q8IXJ6,5dy5,0.974,75.0,77.0,0.062,5.0,80.0,0.904,1.271,0.895,High
Q8IXJ6,3zgv,0.948,73.0,77.0,0.076,6.0,79.0,0.421,2.0,0.941,High
P62826,7mnx,1.0,2.0,2.0,0.6,3.0,5.0,0.777,34.542,0.615,Medium
P62826,4hat,0.5,1.0,2.0,0.667,2.0,3.0,1.066,38.648,0.404,Acceptable
Q02750,3zly,0.975,77.0,79.0,0.061,5.0,82.0,0.874,0.918,0.903,High
P62826,8hq5,1.0,2.0,2.0,0.6,3.0,5.0,0.773,39.064,0.612,Medium
Q02750,6pp9,0.963,78.0,81.0,0.093,8.0,86.0,1.304,1.101,0.839,High
P49137,4tyh,0.929,91.0,98.0,0.173,19.0,110.0,2.056,1.865,0.743,Medium
Q8IXJ6,5d7o,0.948,73.0,77.0,0.039,3.0,76.0,0.509,1.883,0.933,High
Q6SZW1,7djt,0.808,42.0,52.0,0.143,7.0,49.0,1.284,1.947,0.778,Medium
Q9UM73,5aa9,0.902,46.0,51.0,0.281,18.0,64.0,2.557,3.387,0.674,Medium
P35520,8s5i,0.612,30.0,49.0,0.032,1.0,31.0,4.721,39.708,0.249,Acceptable
Q02750,3eqd,0.976,82.0,84.0,0.128,12.0,94.0,1.034,0.832,0.882,High
Q9H7B4,5ccm,0.873,48.0,55.0,0.077,4.0,52.0,0.241,0.51,0.948,High
,,,,,,,,,,,Incorrect
Q8NB16,7nm2,0.789,30.0,38.0,0.231,9.0,39.0,1.651,2.3,0.724,Medium
Q8IXJ6,5mar,0.961,74.0,77.0,0.086,7.0,81.0,0.872,2.21,0.882,High
Q96BN8,4ksl,0.887,86.0,97.0,0.14,14.0,100.0,1.068,2.917,0.815,High
P62826,6m6x,1.0,2.0,2.0,0.667,4.0,6.0,0.857,39.131,0.6,Medium
P62826,6xjp,0.5,1.0,2.0,0.75,3.0,4.0,1.131,38.604,0.395,Acceptable
Q06124,6crf,0.0,0.0,71.0,1.0,3.0,3.0,19.331,58.825,0.009,Incorrect
Q9UGN5,8he8,0.876,92.0,105.0,0.107,11.0,103.0,0.721,1.252,0.889,High
Q8RT31,4c7p,0.758,47.0,62.0,0.13,7.0,54.0,0.893,1.155,0.826,High
Q8IXJ6,4rmg,0.974,75.0,77.0,0.062,5.0,80.0,0.835,1.466,0.903,High
P62826,8hq3,1.0,2.0,2.0,0.5,2.0,4.0,0.78,39.088,0.611,Medium
Q02750,3orn,0.905,76.0,84.0,0.062,5.0,81.0,1.484,0.984,0.799,Medium
P28482,4zzo,0.87,60.0,69.0,0.444,48.0,108.0,2.629,6.058,0.593,Medium
Q63450,1a06,0.89,65.0,73.0,0.316,30.0,95.0,1.984,2.676,0.721,Medium
P62826,4hay,0.5,1.0,2.0,0.75,3.0,4.0,1.116,41.472,0.395,Acceptable
P49137,3gok,0.954,62.0,65.0,0.127,9.0,71.0,1.013,1.682,0.868,High
P62826,6x2y,0.5,1.0,2.0,0.667,2.0,3.0,1.121,39.985,0.395,Acceptable
Q9UM73,4ctc,0.955,42.0,44.0,0.276,16.0,58.0,2.228,2.85,0.722,Medium
P11142,5aqi,0.975,39.0,40.0,0.025,1.0,40.0,0.427,0.566,0.965,High
P31016,1jxo,1.0,11.0,11.0,0.154,2.0,13.0,0.355,3.272,0.939,High
P28482,8zjv,0.817,58.0,71.0,0.463,50.0,108.0,2.421,5.098,0.61,Medium
Q02750,9aya,0.962,76.0,79.0,0.038,3.0,79.0,1.387,0.758,0.831,High
O60741,6uqf,0.879,51.0,58.0,0.089,5.0,56.0,0.47,0.99,0.925,High
Q06124,6wu8,0.921,70.0,76.0,0.136,11.0,81.0,0.709,1.147,0.907,High
,,,,,,,,,,,Incorrect
Q9H7B4,6p6g,0.982,54.0,55.0,0.069,4.0,58.0,0.207,0.425,0.987,High
Q9NPP4,8fw9,0.0,0.0,28.0,0.0,0.0,0.0,16.995,42.036,0.016,Incorrect
Q02750,7m0v,0.963,78.0,81.0,0.06,5.0,83.0,1.275,1.113,0.842,High
Q06124,4ohl,0.895,68.0,76.0,0.068,5.0,73.0,0.613,1.052,0.912,High
P28482,7w5o,0.859,61.0,71.0,0.371,36.0,97.0,1.976,4.236,0.675,Medium
P35520,8s5k,0.633,31.0,49.0,0.031,1.0,32.0,4.73,39.753,0.256,Acceptable
P28482,4qp2,0.952,60.0,63.0,0.231,18.0,78.0,1.389,3.171,0.789,Medium
P49137,1kwp,0.85,85.0,100.0,0.28,33.0,118.0,3.243,1.661,0.663,Medium
P62826,7mo0,1.0,1.0,1.0,0.0,0.0,1.0,1.215,38.311,0.55,Medium
P49137,3ka0,0.917,88.0,96.0,0.093,9.0,97.0,1.128,0.876,0.848,High
O76074,3mf0,1.0,7.0,7.0,0.222,2.0,9.0,0.638,3.74,0.895,High
Q9UM73,5aaa,0.902,46.0,51.0,0.246,15.0,61.0,2.489,3.304,0.679,Medium
Q02750,1s9j,0.951,77.0,81.0,0.025,2.0,79.0,1.304,1.302,0.832,High
P62826,6a3e,1.0,2.0,2.0,0.714,5.0,7.0,1.106,38.84,0.564,Medium
Q02750,7b94,0.988,79.0,80.0,0.092,8.0,87.0,1.2,0.674,0.864,High
Q02750,9axx,0.951,77.0,81.0,0.154,14.0,91.0,1.514,1.493,0.805,High
Q9UM73,3lcs,0.817,49.0,60.0,0.388,31.0,80.0,3.117,5.566,0.568,Medium
Q06124,8gww,0.863,63.0,73.0,0.031,2.0,65.0,0.478,0.583,0.922,High
Q9UM73,7jyr,0.875,42.0,48.0,0.276,16.0,58.0,2.217,2.826,0.696,Medium
P28482,7nqq,0.845,60.0,71.0,0.459,51.0,111.0,2.566,5.788,0.594,Medium
Q9UM73,4cd0,0.878,43.0,49.0,0.259,15.0,58.0,2.564,3.339,0.666,Medium
P54763,1jpa,0.898,53.0,59.0,0.102,6.0,59.0,0.775,1.104,0.89,High
P22681,2k4d,0.311,14.0,45.0,0.364,8.0,22.0,15.182,28.443,0.134,Incorrect
Q00944,2j0j,0.875,28.0,32.0,0.333,14.0,42.0,3.566,4.011,0.614,Medium
P22681,4a4b,0.868,33.0,38.0,0.175,7.0,40.0,1.153,1.703,0.819,High
P31749,5kcv,0.357,5.0,14.0,0.918,56.0,61.0,3.998,20.605,0.209,Incorrect
P28482,6gdq,0.845,60.0,71.0,0.459,51.0,111.0,2.507,5.57,0.603,Medium
P28482,4zzn,0.831,59.0,71.0,0.459,50.0,109.0,2.516,5.822,0.591,Medium
Q06124,6bmw,0.908,69.0,76.0,0.068,5.0,74.0,0.332,0.442,0.953,High
Q02750,7b3m,0.975,78.0,80.0,0.049,4.0,82.0,1.291,0.692,0.848,High
P00579,7khi,0.0,0.0,0.0,0.0,0.0,0.0,13.03,51.118,0.013,Incorrect
Q9UGN5,8hlq,0.848,89.0,105.0,0.073,7.0,96.0,0.752,1.622,0.871,High
P53686,1q14,0.231,3.0,13.0,0.927,38.0,41.0,6.151,12.12,0.206,Incorrect
P62826,5ysu,1.0,2.0,2.0,0.6,3.0,5.0,1.016,38.889,0.577,Medium
P62826,7ypz,1.0,2.0,2.0,0.5,2.0,4.0,0.783,39.033,0.61,Medium
Q02750,3dy7,0.975,78.0,80.0,0.114,10.0,88.0,1.194,0.771,0.86,High
Q06124,8s0s,0.92,69.0,75.0,0.055,4.0,73.0,0.686,0.926,0.912,High
P62826,4hb0,0.5,1.0,2.0,0.667,2.0,3.0,1.136,39.537,0.393,Acceptable
Q02750,4an2,0.914,74.0,81.0,0.129,11.0,85.0,1.054,1.2,0.855,High
Q9H7B4,5ex3,0.709,39.0,55.0,0.114,5.0,44.0,0.95,2.476,0.781,Medium
P07949,6ne7,0.455,5.0,11.0,0.8,20.0,25.0,2.844,7.834,0.404,Acceptable
P28482,7nr5,0.859,61.0,71.0,0.45,50.0,111.0,2.691,6.087,0.586,Medium
Q02750,4lmn,0.881,74.0,84.0,0.14,12.0,86.0,1.706,1.204,0.766,Medium
Q06124,5ehr,0.933,70.0,75.0,0.054,4.0,74.0,0.31,0.44,0.963,High
Q9UM73,7jy4,0.875,42.0,48.0,0.276,16.0,58.0,2.223,2.841,0.696,Medium
Q08209,1aui,0.837,41.0,49.0,0.18,9.0,50.0,0.546,1.058,0.901,High
P62826,6xjt,0.5,1.0,2.0,0.75,3.0,4.0,1.159,38.583,0.391,Acceptable
Q9UM73,4ans,0.896,43.0,48.0,0.259,15.0,58.0,2.552,3.397,0.672,Medium
P62826,5clq,1.0,2.0,2.0,0.0,0.0,2.0,0.785,32.074,0.617,Medium
P28482,5nhj,0.831,59.0,71.0,0.449,48.0,107.0,2.498,5.226,0.607,Medium
Q16644,3r1n,0.911,92.0,101.0,0.107,11.0,103.0,0.489,0.48,0.937,High
Q9H7B4,6o9o,0.982,54.0,55.0,0.069,4.0,58.0,0.207,0.425,0.987,High
Q9H7B4,5hi7,0.818,45.0,55.0,0.211,12.0,57.0,0.801,0.569,0.864,High
Q9UM73,5fto,0.902,46.0,51.0,0.207,12.0,58.0,2.557,3.017,0.682,Medium
P08631,3vs7,0.938,30.0,32.0,0.032,1.0,31.0,0.684,1.413,0.913,High
O60741,5u6p,0.891,49.0,55.0,0.075,4.0,53.0,0.498,0.909,0.927,High
P22681,1fbv,0.267,12.0,45.0,0.0,0.0,12.0,17.185,37.275,0.108,Incorrect
P26358,4wxx,0.655,19.0,29.0,0.174,4.0,23.0,1.291,1.683,0.731,Medium
Q96FI4,6lwr,0.984,120.0,122.0,0.084,11.0,131.0,1.217,1.991,0.845,High
P28482,6g9d,0.831,59.0,71.0,0.454,49.0,108.0,2.526,5.713,0.593,Medium
P11142,3ldq,0.925,37.0,40.0,0.051,2.0,39.0,0.374,0.526,0.954,High
P62826,5uwi,0.5,1.0,2.0,0.667,2.0,3.0,1.078,38.618,0.402,Acceptable
Q6SZW1,6wpk,0.843,43.0,51.0,0.122,6.0,49.0,1.141,3.258,0.783,Medium
Q9UM73,7r7k,0.936,44.0,47.0,0.279,17.0,61.0,2.536,3.473,0.684,Medium
P28482,6g91,0.845,60.0,71.0,0.459,51.0,111.0,2.52,5.744,0.598,Medium
P31751,8q61,0.695,66.0,95.0,0.529,74.0,140.0,6.744,20.456,0.296,Acceptable
Q02750,7b9l,0.987,78.0,79.0,0.06,5.0,83.0,0.925,0.662,0.902,High
P54646,5iso,1.0,1.0,1.0,0.5,1.0,2.0,2.289,6.958,0.633,Medium
Q9D8T2,6n9n,0.523,23.0,44.0,0.439,18.0,41.0,8.384,12.218,0.293,Acceptable
P62826,6xjr,0.5,1.0,2.0,0.75,3.0,4.0,1.105,39.334,0.398,Acceptable
P07949,2ivs,0.769,10.0,13.0,0.688,22.0,32.0,3.008,7.376,0.513,Medium
Q9UGN5,4zzy,0.733,77.0,105.0,0.105,9.0,86.0,1.629,2.774,0.699,Medium
Q02750,7mfd,0.821,69.0,84.0,0.169,14.0,83.0,1.603,2.205,0.742,Medium
Q8IXJ6,5yqn,0.987,76.0,77.0,0.095,8.0,84.0,0.816,0.796,0.917,High
Q06124,7xhq,0.939,62.0,66.0,0.075,5.0,67.0,0.55,0.621,0.938,High
Q8IXJ6,6l71,0.974,75.0,77.0,0.096,8.0,83.0,0.688,0.571,0.932,High
Q9NPP4,8fw2,0.0,0.0,28.0,0.0,0.0,0.0,16.905,41.937,0.016,Incorrect
O00571,5e7j,0.872,68.0,78.0,0.081,6.0,74.0,3.545,8.658,0.505,Medium
P62826,6lq9,0.5,1.0,2.0,0.75,3.0,4.0,1.16,38.108,0.391,Acceptable
Q9H7B4,7o2a,0.964,53.0,55.0,0.07,4.0,57.0,0.253,0.596,0.977,High
Q9Y4X5,4kbl,0.953,61.0,64.0,0.129,9.0,70.0,0.59,1.135,0.934,High
Q9NPP4,8fvu,0.0,0.0,27.0,0.0,0.0,0.0,17.265,42.487,0.015,Incorrect
P08631,5h09,0.781,25.0,32.0,0.219,7.0,32.0,0.849,0.893,0.843,High
Q8NB16,6zle,0.632,24.0,38.0,0.314,11.0,35.0,1.819,2.667,0.649,Medium
P00519,8ssn,0.789,15.0,19.0,0.318,7.0,22.0,1.554,2.414,0.732,Medium
Q9UIK4,2cke,0.867,26.0,30.0,0.0,0.0,26.0,0.301,0.564,0.941,High
P28482,6g9h,0.845,60.0,71.0,0.464,52.0,112.0,2.52,5.628,0.601,Medium
Q02750,6q0t,0.961,49.0,51.0,0.039,2.0,51.0,1.572,1.421,0.803,High
P07949,6nja,0.455,5.0,11.0,0.8,20.0,25.0,2.771,7.607,0.412,Acceptable
P28482,5lck,0.845,60.0,71.0,0.455,50.0,110.0,2.514,5.779,0.597,Medium
O08967,6bbq,0.117,7.0,60.0,0.417,5.0,12.0,22.016,53.798,0.049,Incorrect
P45985,3alo,0.932,82.0,88.0,0.068,6.0,88.0,4.769,1.077,0.669,Medium
Q06124,6cmp,0.863,63.0,73.0,0.16,12.0,75.0,0.961,1.704,0.844,High
P28482,4h3q,0.826,57.0,69.0,0.412,40.0,97.0,1.466,3.15,0.739,Medium
Q8IXJ6,8owz,0.909,70.0,77.0,0.067,5.0,75.0,0.956,1.506,0.863,High
Q02750,6u2g,0.917,77.0,84.0,0.105,9.0,86.0,1.37,1.126,0.815,High
Q9JK66,4zyn,0.875,119.0,136.0,0.092,12.0,131.0,1.302,1.462,0.806,High
Q9UM73,6mx8,0.977,42.0,43.0,0.125,6.0,48.0,1.077,1.53,0.868,High
P19174,4fbn,0.769,20.0,26.0,0.683,43.0,63.0,1.301,26.049,0.479,Acceptable
Q9H7B4,6paf,0.909,50.0,55.0,0.02,1.0,51.0,0.255,0.576,0.959,High
P28482,8ao3,0.831,59.0,71.0,0.459,50.0,109.0,2.518,5.772,0.592,Medium
Q06124,6bmy,0.921,70.0,76.0,0.079,6.0,76.0,0.355,0.499,0.955,High
Q91VS8,4gzu,0.947,89.0,94.0,0.082,8.0,97.0,0.612,0.819,0.932,High
P28482,6gdm,0.845,60.0,71.0,0.444,48.0,108.0,2.545,5.794,0.595,Medium
P28482,1tvo,0.803,57.0,71.0,0.472,51.0,108.0,2.587,5.64,0.583,Medium
P14633,1na6,1.0,13.0,13.0,0.235,4.0,17.0,1.098,3.92,0.825,High
Q9UM73,6cdt,0.882,45.0,51.0,0.25,15.0,60.0,2.516,3.458,0.668,Medium
P62826,3gj8,0.0,0.0,2.0,1.0,63.0,63.0,4.183,62.482,0.044,Incorrect
P62826,5dha,0.5,1.0,2.0,0.8,4.0,5.0,1.127,39.503,0.394,Acceptable
Q96FI4,5itt,0.918,112.0,122.0,0.104,13.0,125.0,1.882,3.226,0.727,Medium
P11142,5aqr,0.9,36.0,40.0,0.053,2.0,38.0,0.385,0.518,0.945,High
P54646,6b1u,0.0,0.0,0.0,0.0,0.0,0.0,2.856,6.838,0.274,Acceptable
,,,,,,,,,,,Incorrect
P62826,8hq4,0.5,1.0,2.0,0.75,3.0,4.0,1.113,39.247,0.397,Acceptable
P62826,6x2v,0.5,1.0,2.0,0.75,3.0,4.0,1.191,41.037,0.385,Acceptable
P28482,6slg,0.843,59.0,70.0,0.438,46.0,105.0,2.517,5.623,0.6,Medium
Q9UM73,6ebw,0.857,36.0,42.0,0.143,6.0,42.0,1.347,1.018,0.799,Medium
Q3KK31,3pjx,0.931,81.0,87.0,0.1,9.0,90.0,0.599,0.75,0.929,High
Q02750,5eym,0.949,74.0,78.0,0.039,3.0,77.0,0.808,1.124,0.902,High
P31749,6hhg,0.385,10.0,26.0,0.894,84.0,94.0,7.668,22.188,0.183,Incorrect
P62826,5dhf,1.0,2.0,2.0,0.5,2.0,4.0,1.107,39.749,0.564,Medium
Q9H7B4,3qwp,0.964,53.0,55.0,0.054,3.0,56.0,0.196,0.421,0.981,High
Q9Z0R4,3jv3,0.0,0.0,20.0,0.0,0.0,0.0,12.049,20.523,0.054,Incorrect
P62826,5uwp,0.5,1.0,2.0,0.5,1.0,2.0,1.102,38.627,0.399,Acceptable
Q6GQQ9,5lru,0.543,19.0,35.0,0.367,11.0,30.0,1.711,2.851,0.625,Medium
Q8IXJ6,6l72,0.922,71.0,77.0,0.101,8.0,79.0,0.681,0.642,0.915,High
Q06124,8s0j,0.934,71.0,76.0,0.09,7.0,78.0,0.69,0.976,0.916,High
Q9BZ95,5upd,0.846,33.0,39.0,0.083,3.0,36.0,1.168,2.863,0.789,Medium
P62826,5cit,0.0,0.0,2.0,1.0,63.0,63.0,4.255,59.003,0.044,Incorrect
P62826,4hau,0.5,1.0,2.0,0.667,2.0,3.0,1.317,41.797,0.368,Acceptable
Q06124,9blg,0.921,70.0,76.0,0.054,4.0,74.0,0.432,0.625,0.946,High
Q9UIK4,6paw,0.933,28.0,30.0,0.034,1.0,29.0,0.326,0.509,0.962,High
P28482,8aof,0.831,59.0,71.0,0.449,48.0,107.0,2.693,5.817,0.583,Medium
Q06124,6md9,0.907,68.0,75.0,0.105,8.0,76.0,0.329,0.478,0.952,High
Q96FI4,6lwl,0.926,113.0,122.0,0.124,16.0,129.0,1.602,2.656,0.768,Medium
P28482,1wzy,0.704,50.0,71.0,0.462,43.0,93.0,2.571,5.163,0.563,Medium
P00579,4zh3,0.0,0.0,0.0,0.0,0.0,0.0,15.015,46.746,0.014,Incorrect
Q02750,6q0j,0.961,49.0,51.0,0.039,2.0,51.0,1.572,1.416,0.803,High
Q13557,6ayw,0.971,33.0,34.0,0.029,1.0,34.0,0.256,0.304,0.98,High
Q01974,3zzw,0.867,39.0,45.0,0.133,6.0,45.0,1.451,3.031,0.757,Medium
Q9Y4X5,5udh,0.95,57.0,60.0,0.095,6.0,63.0,0.543,1.136,0.939,High
Q06124,4dgx,0.851,63.0,74.0,0.074,5.0,68.0,0.6,0.799,0.902,High
P49137,6tca,0.909,90.0,99.0,0.135,14.0,104.0,3.881,1.611,0.668,Medium
Q8IXJ6,4rmj,0.974,75.0,77.0,0.026,2.0,77.0,0.431,1.894,0.95,High
P62826,5uwo,0.5,1.0,2.0,0.667,2.0,3.0,1.118,39.968,0.395,Acceptable
Q02750,6v2w,0.877,71.0,81.0,0.053,4.0,75.0,1.411,1.163,0.796,Medium
Q06124,8s07,0.842,64.0,76.0,0.099,7.0,71.0,0.796,1.18,0.868,High
Q9H7B4,7qlb,0.982,54.0,55.0,0.036,2.0,56.0,0.2,0.586,0.987,High
Q02750,3vvh,0.949,75.0,79.0,0.085,7.0,82.0,1.022,0.944,0.873,High
Q9UM73,8arj,0.909,40.0,44.0,0.245,13.0,53.0,2.333,2.978,0.697,Medium
Q02750,7m0u,0.914,74.0,81.0,0.063,5.0,79.0,1.414,1.118,0.809,High
P28482,6qaw,0.831,59.0,71.0,0.454,49.0,108.0,2.536,5.811,0.591,Medium
P28482,6qal,0.831,59.0,71.0,0.464,51.0,110.0,2.671,6.123,0.576,Medium
P62826,6kft,1.0,2.0,2.0,0.5,2.0,4.0,1.053,38.835,0.572,Medium
,,,,,,,,,,,Incorrect
P11142,6zyj,0.925,37.0,40.0,0.075,3.0,40.0,0.318,0.562,0.959,High
Q06124,8s06,0.816,62.0,76.0,0.088,6.0,68.0,0.694,1.111,0.874,High
Q9H7B4,6zrb,0.945,52.0,55.0,0.071,4.0,56.0,0.218,0.441,0.974,High
P28482,8u8k,0.855,59.0,69.0,0.344,31.0,90.0,2.393,5.677,0.61,Medium
Q02750,8dgt,0.914,74.0,81.0,0.051,4.0,78.0,1.388,1.161,0.811,High
P08631,1qcf,0.812,26.0,32.0,0.071,2.0,28.0,0.867,2.169,0.834,High
P22681,5hkx,0.923,12.0,13.0,0.0,0.0,12.0,5.181,18.161,0.393,Acceptable
P62826,1rrp,1.0,2.0,2.0,0.0,0.0,2.0,0.803,31.073,0.616,Medium
Q9H7B4,5yjo,0.964,53.0,55.0,0.054,3.0,56.0,0.238,0.391,0.979,High
Q06124,6bmv,0.882,67.0,76.0,0.043,3.0,70.0,0.46,0.654,0.93,High
Q9UIK4,1wmk,0.906,29.0,32.0,0.094,3.0,32.0,0.48,0.866,0.934,High
